Half Reaction,Standard Reduction Potential (V)
Cl2(g) + 2 e- -> 2 Cl-,1.35827
Cr2O7(2-) + 14 H+ + 6 e- -> 2 Cr3+ + 7 H2O,1.36
ClO4- + 8 H+ + 8 e- -> Cl- + 4 H2O,1.389
ClO4- + 8 H+ + 7 e- -> 1/2 Cl2 + 4 H2O,1.39
No3+ + e- -> No2+,1.4
RuO4 + 6 H+ + 4 e- -> Ru(OH)2(2+) + 2 H2O,1.40
Au3+ + 2 e- -> Au+,1.401
2 NH3OH+ + H+ + 2 e- -> N2H5+ + 2 H2O,1.42
BrO3- + 6 H+ + 6 e- -> Br- + 3 H2O,1.423
2 HIO + 2 H+ + 2 e- -> I2 + 2 H2O,1.439
Au(OH)3 + 3 H+ + 3 e- -> Au + 3 H2O,1.45
ClO3- + 6 H+ + 6 e- -> Cl- + 3 H2O,1.451
PbO2 + 4 H+ + 2 e- -> Pb2+ + 2 H2O,1.455
ClO3- + 6 H+ + 5 e- -> 1/2 Cl2 + 3 H2O,1.47
CrO2 + 4 H+ + e- -> Cr3+ + 2 H2O,1.48
BrO3- + 6 H+ + 5 e- -> 1/2 Br2 + 3 H2O,1.482
HClO + H+ + 2 e- -> Cl- + H2O,1.482
Mn2O3 + 6 H+ + e- -> 2 Mn2+ + 3 H2O,1.485
HO2 + H+ + e- -> H2O2,1.495
Au3+ + 3 e- -> Au,1.498
PtO3 + 4 H+ + 2 e- -> Pt(OH)2(2+) + H2O,1.5
MnO4- + 8 H+ + 5 e- -> Mn2+ + 4 H2O,1.507
Mn3+ + e- -> Mn2+,1.5415
HClO2 + 3 H+ + 4 e- -> Cl- + 2 H2O,1.570
HBrO + H+ + e- -> 1/2 Br2(aq) + H2O,1.574
2 NO + 2 H+ + 2 e- -> N2O + H2O,1.591
Bi2O4 + 4 H+ + 2 e- -> 2 BiO+ + 2 H2O,1.593
HBrO + H+ + e- -> 1/2 Br2(l) + H2O,1.596
H5IO6 + H+ + 2 e- -> IO3- + 3 H2O,1.601
HClO + H+ + e- -> 1/2 Cl2 + H2O,1.611
HClO2 + 3 H+ + 3 e- -> 1/2 Cl2 + 2 H2O,1.628
HClO2 + 2 H+ + 2 e- -> HClO + H2O,1.645
Bk4+ + e- -> Bk3+,1.67
NiO2 + 4 H+ + 2 e- -> Ni2+ + 2 H2O,1.678
MnO4- + 4 H+ + 3 e- -> MnO2 + 2 H2O,1.679
PbO2 + SO4(2-) + 4 H+ + 2 e- -> PbSO4 + 2 H2O,1.6913
Au+ + e- -> Au,1.692
PtO3 + 2 H+ + 2 e- -> PtO2 + H2O,1.7
CeOH3+ + H+ + e- -> Ce3+ + H2O,1.715
Ce4+ + e- -> Ce3+,1.72
N2O + 2 H+ + 2 e- -> N2 + H2O,1.766
H2O2 + 2 H+ + 2 e- -> 2 H2O,1.776
Ag3+ + e- -> Ag2+,1.8
Au2+ + e- -> Au+,1.8
Ag2O2 + 4 H+ + e- -> 2 Ag + 2 H2O,1.802
Co3+ + e- -> Co2+ (2 molar H2SO4),1.83
Ag3+ + 2 e- -> Ag+,1.9
Co3+ + e- -> Co2+,1.92
Ag2+ + e- -> Ag+,1.980
Cu2O3 + 6 H+ + 2 e- -> 2 Cu2+ + 3 H2O,2.0
S2O8(2-) + 2 e- -> 2 SO4(2-),2.010
OH + e- -> OH-,2.02
HFeO4- + 7 H+ + 3 e- -> Fe3+ + 4 H2O,2.07
O3 + 2 H+ + 2 e- -> O2 + H2O,2.076
HFeO4- + 4 H+ + 3 e- -> FeOOH + 2 H2O,2.08
2 HFeO4- + 8 H+ + 6 e- -> Fe2O3 + 5 H2O,2.09
XeO3 + 6 H+ + 6 e- -> Xe + 3 H2O,2.10
S2O8(2-) + 2 H+ + 2 e- -> 2 HSO4-,2.123
F2O + 2 H+ + 4 e- -> H2O + 2 F-,2.153
FeO42- + 8 H+ + 3 e- -> Fe3+ + 4 H2O,2.20
Cu3+ + e- -> Cu2+,2.4
H4XeO6 + 2 H+ + 2 e- -> XeO3 + 3 H2O,2.42
O(g) + 2 H+ + 2 e- -> H2O,2.421
Am4+ + e- -> Am3+,2.60
H2N2O2 + 2 H+ + 2 e- -> N2 + 2 H2O,2.65
F2 + 2 e- -> 2 F-,2.866
Cm4+ + e- -> Cm3+,3.0
F2 + 2 H+ + 2 e- -> 2 HF,3.053
Tb4+ + e- -> Tb3+,3.1
Pr4+ + e- -> Pr3+,3.2
Cf4+ + e- -> Cf3+,3.3
XeF+ + e- -> Xe + F-,3.4
