Half Reaction,Standard Reduction Potential (V)
Yb3+ + e- -> Yb2+,-1.05
PO4(3-) + 2 H2O + 2 e- -> HPO3(2-) + 3 OH-,-1.05
In2O3 + 3 H2O + 6 e- -> 2 In + 6 OH-,-1.034
In(OH)4- + 3 e- -> In + 4 OH-,-1.007
NpO2 + H2O + H+ + e- -> Np(OH)3,-0.962
In(OH)3 + 3 e- -> In + 3 OH-,-0.99
SnO2 + 2 H2O + 4 e- -> Sn + 4 OH-,-0.945
Sn(OH)6(2-) + 2 e- -> HSnO2- + 3 OH- + H2O,-0.93
SO4(2-) + H2O + 2 e- -> SO3(2-) + 2 OH-,-0.93
Cr2+ + 2 e- -> Cr,-0.913
HSnO2- + H2O + 2 e- -> Sn + 3 OH-,-0.909
P + 3 H2O + 3 e- -> PH3(g) + 3 OH-,-0.87
H3BO3 + 3 H+ + 3 e- -> B + 3 H2O,-0.8698
2 NO3- + 2 H2O + 2 e- -> N2O4 + 4 OH-,-0.85
2 H2O + 2 e- -> H2 + 2 OH-,-0.8277
Cd(OH)2 + 2 e- -> Cd(Hg) + 2 OH-,-0.809
SiO + 2 H+ + 2 e- -> Si + H2O,-0.8
Bi + 3 H+ + 3 e- -> BiH3,-0.8
ZnSO4·7H2O + 2 e- -> Zn(Hg) + SO4(2-) + 7 H2O,-0.7993
Te + 2 H+ + 2 e- -> H2Te,-0.793
CdO + H2O + 2 e- -> Cd + 2 OH-,-0.783
Zn2+ + 2 e- -> Zn(Hg),-0.7628
Zn2+ + 2 e- -> Zn,-0.7618
TlI + e- -> Tl + I-,-0.752
Ta2O5 + 10 H+ + 10 e- -> 2 Ta + 5 H2O,-0.750
Cr3+ + 3 e- -> Cr,-0.744
H2SeO3 + 4 H+ + 4 e- -> Se + 3 H2O,-0.74
NbO + 2 H+ + 2 e- -> Nb + H2O,-0.733
Co(OH)2 + 2 e- -> Co + 2 OH-,-0.73
Ni(OH)2 + 2 e- -> Ni + 2 OH-,-0.72
AsO4(3-) + 2 H2O + 2 e- -> AsO2- + 4 OH-,-0.71
Ag2S + 2 e- -> 2 Ag + S2-,-0.691
NbO2 + 4 H+ + 4 e- -> Nb + 2 H2O,-0.690
AsO2- + 2 H2O + 3 e- -> As + 4 OH-,-0.68
Se + 2 e- -> Se2-,-0.670
SbO2- + 2 H2O + 3 e- -> Sb + 4 OH-,-0.66
TlBr + e- -> Tl + Br-,-0.658
Cd(OH)4(2-) + 2 e- -> Cd + 4 OH-,-0.658
NbO2 + 2 H+ + 2 e- -> NbO + H2O,-0.646
Nb2O5 + 10 H+ + 10 e- -> 2 Nb + 5 H2O,-0.644
As + 3 H+ + 3 e- -> AsH3,-0.608
ReO2- + 4 H2O + 7 e- -> Re + 8 OH-,-0.604
Ta3+ + 3 e- -> Ta,-0.6
SbO3- + H2O + 2 e- -> SbO2- + 2 OH-,-0.59
